"UserPrincipalName","DisplayName","AccountEnabled","InactiveReason","RiskLevel","LastSignInDateTime","CreatedDateTime","AnalysisTimestamp","Note"
"inactive1@mirai-const.co.jp","非アクティブユーザー 1","True","151日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive2@mirai-const.co.jp","非アクティブユーザー 2","True","33日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive3@mirai-const.co.jp","非アクティブユーザー 3","True","126日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive4@mirai-const.co.jp","非アクティブユーザー 4","True","83日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive5@mirai-const.co.jp","非アクティブユーザー 5","True","95日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive6@mirai-const.co.jp","非アクティブユーザー 6","True","30日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive7@mirai-const.co.jp","非アクティブユーザー 7","True","154日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive8@mirai-const.co.jp","非アクティブユーザー 8","True","80日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive9@mirai-const.co.jp","非アクティブユーザー 9","True","30日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive10@mirai-const.co.jp","非アクティブユーザー 10","True","159日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive11@mirai-const.co.jp","非アクティブユーザー 11","True","94日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive12@mirai-const.co.jp","非アクティブユーザー 12","True","130日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive13@mirai-const.co.jp","非アクティブユーザー 13","True","134日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive14@mirai-const.co.jp","非アクティブユーザー 14","True","99日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive15@mirai-const.co.jp","非アクティブユーザー 15","True","118日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:53:51","06/13/2025 16:53:51","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
