"UserPrincipalName","DisplayName","Department","JobTitle","AccountEnabled","LastSignInDateTime","DaysSinceLastSignIn","IsActive","ActivityLevel","CreatedDateTime","AnalysisTimestamp"
"user1@mirai-const.co.jp","サンプルユーザー 1","経理部","エンジニア","True","2025/05/30 16:47:12","14","True","中活動","2024/07/27 16:47:12","2025/06/13 16:47:12"
"user2@mirai-const.co.jp","サンプルユーザー 2","営業部","マネージャー","True","2025/05/16 16:47:12","28","True","中活動","2024/08/23 16:47:12","2025/06/13 16:47:12"
"user3@mirai-const.co.jp","サンプルユーザー 3","営業部","シニアエンジニア","True","2025/06/03 16:47:12","10","True","中活動","2024/08/15 16:47:12","2025/06/13 16:47:12"
"user4@mirai-const.co.jp","サンプルユーザー 4","管理部","マネージャー","True","2025/06/02 16:47:12","11","True","中活動","2025/05/09 16:47:12","2025/06/13 16:47:12"
"user5@mirai-const.co.jp","サンプルユーザー 5","経理部","マネージャー","True","2025/05/29 16:47:12","15","True","中活動","2025/04/24 16:47:12","2025/06/13 16:47:12"
"user6@mirai-const.co.jp","サンプルユーザー 6","経理部","アシスタント","True","2025/05/18 16:47:12","26","True","中活動","2024/09/08 16:47:12","2025/06/13 16:47:12"
"user7@mirai-const.co.jp","サンプルユーザー 7","経理部","シニアエンジニア","True","2025/06/02 16:47:12","11","True","中活動","2025/05/13 16:47:12","2025/06/13 16:47:12"
"user8@mirai-const.co.jp","サンプルユーザー 8","営業部","シニアエンジニア","True","2025/06/04 16:47:12","9","True","中活動","2024/11/28 16:47:12","2025/06/13 16:47:12"
"user9@mirai-const.co.jp","サンプルユーザー 9","管理部","シニアエンジニア","True","2025/05/29 16:47:12","15","True","中活動","2024/06/17 16:47:12","2025/06/13 16:47:12"
"user10@mirai-const.co.jp","サンプルユーザー 10","営業部","スペシャリスト","True","2025/06/03 16:47:12","10","True","中活動","2024/06/19 16:47:12","2025/06/13 16:47:12"
"user11@mirai-const.co.jp","サンプルユーザー 11","経理部","マネージャー","True","2025/06/04 16:47:12","9","True","中活動","2025/02/27 16:47:12","2025/06/13 16:47:12"
"user12@mirai-const.co.jp","サンプルユーザー 12","営業部","エンジニア","True","2025/05/15 16:47:12","29","True","中活動","2025/02/19 16:47:12","2025/06/13 16:47:12"
"user13@mirai-const.co.jp","サンプルユーザー 13","営業部","シニアエンジニア","True","2025/05/26 16:47:12","18","True","中活動","2024/10/01 16:47:12","2025/06/13 16:47:12"
"user14@mirai-const.co.jp","サンプルユーザー 14","営業部","マネージャー","True","2025/05/29 16:47:12","15","True","中活動","2024/07/05 16:47:12","2025/06/13 16:47:12"
"user15@mirai-const.co.jp","サンプルユーザー 15","技術部","エンジニア","True","2025/05/21 16:47:12","23","True","中活動","2025/01/07 16:47:12","2025/06/13 16:47:12"
"user16@mirai-const.co.jp","サンプルユーザー 16","管理部","エンジニア","True","2025/06/02 16:47:12","11","True","中活動","2025/04/11 16:47:12","2025/06/13 16:47:12"
"user17@mirai-const.co.jp","サンプルユーザー 17","技術部","アシスタント","True","2025/06/09 16:47:12","4","True","高活動","2025/03/21 16:47:12","2025/06/13 16:47:12"
"user18@mirai-const.co.jp","サンプルユーザー 18","技術部","マネージャー","True","2025/05/30 16:47:12","14","True","中活動","2024/06/26 16:47:12","2025/06/13 16:47:12"
"user19@mirai-const.co.jp","サンプルユーザー 19","人事部","マネージャー","True","2025/06/10 16:47:12","3","True","高活動","2025/05/01 16:47:12","2025/06/13 16:47:12"
"user20@mirai-const.co.jp","サンプルユーザー 20","人事部","マネージャー","True","2025/05/19 16:47:12","25","True","中活動","2024/07/13 16:47:12","2025/06/13 16:47:12"
"user21@mirai-const.co.jp","サンプルユーザー 21","技術部","シニアエンジニア","True","2025/05/28 16:47:12","16","True","中活動","2024/08/27 16:47:12","2025/06/13 16:47:12"
"user22@mirai-const.co.jp","サンプルユーザー 22","人事部","アシスタント","True","2025/05/20 16:47:12","24","True","中活動","2024/10/30 16:47:12","2025/06/13 16:47:12"
"user23@mirai-const.co.jp","サンプルユーザー 23","管理部","シニアエンジニア","True","2025/05/25 16:47:12","19","True","中活動","2025/03/12 16:47:12","2025/06/13 16:47:12"
"user24@mirai-const.co.jp","サンプルユーザー 24","技術部","エンジニア","True","2025/05/30 16:47:12","14","True","中活動","2025/01/06 16:47:12","2025/06/13 16:47:12"
"user25@mirai-const.co.jp","サンプルユーザー 25","人事部","エンジニア","True","2025/05/30 16:47:12","14","True","中活動","2024/08/26 16:47:12","2025/06/13 16:47:12"
"user26@mirai-const.co.jp","サンプルユーザー 26","営業部","スペシャリスト","True","2025/06/11 16:47:12","2","True","高活動","2025/03/22 16:47:12","2025/06/13 16:47:12"
"user27@mirai-const.co.jp","サンプルユーザー 27","管理部","マネージャー","True","2025/05/22 16:47:12","22","True","中活動","2024/12/13 16:47:12","2025/06/13 16:47:12"
"user28@mirai-const.co.jp","サンプルユーザー 28","技術部","エンジニア","True","2025/06/04 16:47:12","9","True","中活動","2024/09/03 16:47:12","2025/06/13 16:47:12"
"user29@mirai-const.co.jp","サンプルユーザー 29","技術部","アシスタント","True","2025/05/21 16:47:12","23","True","中活動","2024/08/17 16:47:12","2025/06/13 16:47:12"
