"UserPrincipalName","DisplayName","Department","AccountEnabled","InactiveReason","RiskLevel","LastSignInDateTime","CreatedDateTime","AnalysisTimestamp"
"inactive1@mirai-const.co.jp","非アクティブユーザー 1","営業部","True","81日間サインインなし","低","2025/03/24 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive2@mirai-const.co.jp","非アクティブユーザー 2","営業部","True","76日間サインインなし","低","2025/03/29 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive3@mirai-const.co.jp","非アクティブユーザー 3","営業部","True","138日間サインインなし","中","2025/01/26 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive4@mirai-const.co.jp","非アクティブユーザー 4","営業部","True","82日間サインインなし","低","2025/03/23 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive5@mirai-const.co.jp","非アクティブユーザー 5","営業部","True","146日間サインインなし","中","2025/01/18 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive6@mirai-const.co.jp","非アクティブユーザー 6","営業部","True","174日間サインインなし","中","2024/12/21 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive7@mirai-const.co.jp","非アクティブユーザー 7","営業部","True","52日間サインインなし","低","2025/04/22 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive8@mirai-const.co.jp","非アクティブユーザー 8","営業部","True","72日間サインインなし","低","2025/04/02 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive9@mirai-const.co.jp","非アクティブユーザー 9","営業部","True","127日間サインインなし","中","2025/02/06 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive10@mirai-const.co.jp","非アクティブユーザー 10","営業部","True","96日間サインインなし","中","2025/03/09 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive11@mirai-const.co.jp","非アクティブユーザー 11","営業部","True","79日間サインインなし","低","2025/03/26 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive12@mirai-const.co.jp","非アクティブユーザー 12","営業部","True","61日間サインインなし","低","2025/04/13 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive13@mirai-const.co.jp","非アクティブユーザー 13","営業部","True","173日間サインインなし","中","2024/12/22 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive14@mirai-const.co.jp","非アクティブユーザー 14","営業部","True","173日間サインインなし","中","2024/12/22 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
"inactive15@mirai-const.co.jp","非アクティブユーザー 15","営業部","True","98日間サインインなし","中","2025/03/07 16:45:05","2024/06/13 16:45:05","06/13/2025 16:45:05"
