"UserPrincipalName","DisplayName","Department","JobTitle","AccountEnabled","LastSignInDateTime","DaysSinceLastSignIn","IsActive","ActivityLevel","CreatedDateTime","AnalysisTimestamp"
"user1@mirai-const.co.jp","サンプルユーザー 1","営業部","アシスタント","True","2025/06/07 16:45:05","6","True","高活動","2025/03/01 16:45:05","06/13/2025 16:45:05"
"user2@mirai-const.co.jp","サンプルユーザー 2","経理部","エンジニア","True","2025/05/25 16:45:05","19","True","中活動","2025/04/19 16:45:05","06/13/2025 16:45:05"
"user3@mirai-const.co.jp","サンプルユーザー 3","営業部","アシスタント","True","2025/05/18 16:45:05","26","True","中活動","2024/08/18 16:45:05","06/13/2025 16:45:05"
"user4@mirai-const.co.jp","サンプルユーザー 4","営業部","シニアエンジニア","True","2025/05/29 16:45:05","15","True","中活動","2025/01/01 16:45:05","06/13/2025 16:45:05"
"user5@mirai-const.co.jp","サンプルユーザー 5","人事部","スペシャリスト","True","2025/06/09 16:45:05","4","True","高活動","2025/01/06 16:45:05","06/13/2025 16:45:05"
"user6@mirai-const.co.jp","サンプルユーザー 6","技術部","スペシャリスト","True","2025/06/03 16:45:05","10","True","中活動","2025/02/26 16:45:05","06/13/2025 16:45:05"
"user7@mirai-const.co.jp","サンプルユーザー 7","技術部","マネージャー","True","2025/06/06 16:45:05","7","True","高活動","2024/10/26 16:45:05","06/13/2025 16:45:05"
"user8@mirai-const.co.jp","サンプルユーザー 8","技術部","スペシャリスト","True","2025/06/05 16:45:05","8","True","中活動","2025/03/24 16:45:05","06/13/2025 16:45:05"
"user9@mirai-const.co.jp","サンプルユーザー 9","営業部","アシスタント","True","2025/05/22 16:45:05","22","True","中活動","2024/12/17 16:45:05","06/13/2025 16:45:05"
"user10@mirai-const.co.jp","サンプルユーザー 10","経理部","アシスタント","True","2025/05/20 16:45:05","24","True","中活動","2024/06/18 16:45:05","06/13/2025 16:45:05"
"user11@mirai-const.co.jp","サンプルユーザー 11","人事部","スペシャリスト","True","2025/06/11 16:45:05","2","True","高活動","2024/07/16 16:45:05","06/13/2025 16:45:05"
"user12@mirai-const.co.jp","サンプルユーザー 12","営業部","シニアエンジニア","True","2025/06/07 16:45:05","6","True","高活動","2025/02/20 16:45:05","06/13/2025 16:45:05"
"user13@mirai-const.co.jp","サンプルユーザー 13","人事部","エンジニア","True","2025/06/12 16:45:05","1","True","高活動","2025/02/26 16:45:05","06/13/2025 16:45:05"
"user14@mirai-const.co.jp","サンプルユーザー 14","人事部","エンジニア","True","2025/05/30 16:45:05","14","True","中活動","2024/07/25 16:45:05","06/13/2025 16:45:05"
"user15@mirai-const.co.jp","サンプルユーザー 15","経理部","シニアエンジニア","True","2025/05/29 16:45:05","15","True","中活動","2025/03/14 16:45:05","06/13/2025 16:45:05"
"user16@mirai-const.co.jp","サンプルユーザー 16","人事部","シニアエンジニア","True","2025/05/21 16:45:05","23","True","中活動","2025/04/18 16:45:05","06/13/2025 16:45:05"
"user17@mirai-const.co.jp","サンプルユーザー 17","経理部","シニアエンジニア","True","2025/05/30 16:45:05","14","True","中活動","2024/06/20 16:45:05","06/13/2025 16:45:05"
"user18@mirai-const.co.jp","サンプルユーザー 18","経理部","スペシャリスト","True","2025/06/10 16:45:05","3","True","高活動","2024/07/19 16:45:05","06/13/2025 16:45:05"
"user19@mirai-const.co.jp","サンプルユーザー 19","経理部","エンジニア","True","2025/06/01 16:45:05","12","True","中活動","2025/02/20 16:45:05","06/13/2025 16:45:05"
"user20@mirai-const.co.jp","サンプルユーザー 20","営業部","シニアエンジニア","True","2025/05/30 16:45:05","14","True","中活動","2025/04/16 16:45:05","06/13/2025 16:45:05"
"user21@mirai-const.co.jp","サンプルユーザー 21","管理部","マネージャー","True","2025/05/16 16:45:05","28","True","中活動","2024/10/16 16:45:05","06/13/2025 16:45:05"
"user22@mirai-const.co.jp","サンプルユーザー 22","営業部","マネージャー","True","2025/06/09 16:45:05","4","True","高活動","2024/07/27 16:45:05","06/13/2025 16:45:05"
