"UserPrincipalName","DisplayName","Department","JobTitle","AccountEnabled","LastSignInDateTime","DaysSinceLastSignIn","IsActive","ActivityLevel","CreatedDateTime","AnalysisTimestamp"
"user1@mirai-const.co.jp","サンプルユーザー 1","営業部","アシスタント","True","2025/06/12 16:55:38","1","True","高活動","2024/07/22 16:55:38","2025/06/13 16:55:38"
"user2@mirai-const.co.jp","サンプルユーザー 2","経理部","マネージャー","True","2025/05/25 16:55:38","19","True","中活動","2024/09/29 16:55:38","2025/06/13 16:55:38"
"user3@mirai-const.co.jp","サンプルユーザー 3","管理部","マネージャー","True","2025/06/07 16:55:38","6","True","高活動","2024/11/01 16:55:38","2025/06/13 16:55:38"
"user4@mirai-const.co.jp","サンプルユーザー 4","管理部","シニアエンジニア","True","2025/05/21 16:55:38","23","True","中活動","2024/06/14 16:55:38","2025/06/13 16:55:38"
"user5@mirai-const.co.jp","サンプルユーザー 5","経理部","アシスタント","True","2025/05/22 16:55:38","22","True","中活動","2024/11/25 16:55:38","2025/06/13 16:55:38"
"user6@mirai-const.co.jp","サンプルユーザー 6","人事部","マネージャー","True","2025/06/05 16:55:38","8","True","中活動","2024/10/16 16:55:38","2025/06/13 16:55:38"
"user7@mirai-const.co.jp","サンプルユーザー 7","経理部","アシスタント","True","2025/05/23 16:55:38","21","True","中活動","2024/12/06 16:55:38","2025/06/13 16:55:38"
"user8@mirai-const.co.jp","サンプルユーザー 8","技術部","アシスタント","True","2025/05/23 16:55:38","21","True","中活動","2024/07/11 16:55:38","2025/06/13 16:55:38"
"user9@mirai-const.co.jp","サンプルユーザー 9","経理部","シニアエンジニア","True","2025/05/24 16:55:38","20","True","中活動","2024/06/14 16:55:38","2025/06/13 16:55:38"
"user10@mirai-const.co.jp","サンプルユーザー 10","管理部","エンジニア","True","2025/06/10 16:55:38","3","True","高活動","2024/06/23 16:55:38","2025/06/13 16:55:38"
"user11@mirai-const.co.jp","サンプルユーザー 11","営業部","シニアエンジニア","True","2025/06/11 16:55:38","2","True","高活動","2024/08/17 16:55:38","2025/06/13 16:55:38"
"user12@mirai-const.co.jp","サンプルユーザー 12","技術部","シニアエンジニア","True","2025/05/27 16:55:38","17","True","中活動","2024/10/14 16:55:38","2025/06/13 16:55:38"
"user13@mirai-const.co.jp","サンプルユーザー 13","経理部","スペシャリスト","True","2025/05/19 16:55:38","25","True","中活動","2025/03/11 16:55:38","2025/06/13 16:55:38"
"user14@mirai-const.co.jp","サンプルユーザー 14","管理部","シニアエンジニア","True","2025/05/31 16:55:38","13","True","中活動","2024/08/11 16:55:38","2025/06/13 16:55:38"
