"ログイン日時","ユーザー","アプリケーション","認証状態","IPアドレス","クライアント","場所","リスク詳細","デバイス OS","ブラウザ"
"2025/06/24 13:11:49","guest_user@external.com","Microsoft Teams","Success","190.114.13.22","Browser","Tokyo, Japan","none","iOS","Chrome"
"2025/06/24 09:18:49","user1@tenant.onmicrosoft.com","Exchange Online Protection","Failure","169.153.181.87","Mobile Apps and Desktop clients","Osaka, Japan","aiConfirmedSigninSafe","Windows 10","Firefox"
"2025/06/24 05:22:49","manager@tenant.onmicrosoft.com","SharePoint Online","Failure","176.168.57.16","Mobile Apps and Desktop clients","London, United Kingdom","aiConfirmedSigninSafe","iOS","Firefox"
"2025/06/23 21:28:49","admin@tenant.onmicrosoft.com","SharePoint Online","Success","137.133.149.103","Browser","Osaka, Japan","none","iOS","Chrome"
"2025/06/24 03:50:49","user1@tenant.onmicrosoft.com","Exchange Online Protection","Success","112.182.132.33","Browser","Osaka, Japan","none","Windows 10","Safari"
"2025/06/23 16:34:49","manager@tenant.onmicrosoft.com","Microsoft 365","Success","163.108.98.50","Browser","London, United Kingdom","none","Android","Edge"
"2025/06/23 20:02:49","guest_user@external.com","Exchange Online Protection","Success","153.110.204.72","Browser","New York, United States","none","macOS","Safari"
"2025/06/24 10:30:49","service_account@tenant.onmicrosoft.com","Microsoft Teams","Success","162.159.53.81","Browser","Tokyo, Japan","none","iOS","Edge"
"2025/06/23 17:59:49","user1@tenant.onmicrosoft.com","Exchange Online Protection","Failure","118.105.133.113","Mobile Apps and Desktop clients","Tokyo, Japan","aiConfirmedSigninSafe","Android","Chrome"
"2025/06/23 23:45:49","user1@tenant.onmicrosoft.com","Exchange Online Protection","Success","134.198.245.167","Browser","Osaka, Japan","none","Windows 10","Chrome"
"2025/06/24 13:03:49","service_account@tenant.onmicrosoft.com","Azure Portal","Failure","106.143.137.165","Mobile Apps and Desktop clients","Tokyo, Japan","aiConfirmedSigninSafe","iOS","Safari"
"2025/06/24 12:26:49","user1@tenant.onmicrosoft.com","SharePoint Online","Success","163.196.44.85","Browser","London, United Kingdom","none","Windows 10","Edge"
"2025/06/23 15:49:49","service_account@tenant.onmicrosoft.com","Exchange Online Protection","Failure","111.170.115.130","Mobile Apps and Desktop clients","London, United Kingdom","aiConfirmedSigninSafe","Android","Chrome"
"2025/06/24 08:47:49","admin@tenant.onmicrosoft.com","Microsoft Teams","Success","115.138.69.145","Browser","New York, United States","none","iOS","Chrome"
"2025/06/23 22:26:49","service_account@tenant.onmicrosoft.com","Microsoft 365","Success","130.159.213.17","Browser","Tokyo, Japan","none","iOS","Firefox"
"2025/06/24 07:19:49","guest_user@external.com","Microsoft Teams","Success","121.189.9.171","Browser","Osaka, Japan","none","macOS","Firefox"
"2025/06/23 18:36:49","user1@tenant.onmicrosoft.com","Microsoft Teams","Failure","129.190.253.121","Mobile Apps and Desktop clients","Osaka, Japan","aiConfirmedSigninSafe","Windows 10","Safari"
"2025/06/24 07:30:49","user1@tenant.onmicrosoft.com","SharePoint Online","Failure","117.194.31.106","Mobile Apps and Desktop clients","Tokyo, Japan","aiConfirmedSigninSafe","Windows 10","Firefox"
"2025/06/24 03:55:49","manager@tenant.onmicrosoft.com","Azure Portal","Success","119.101.9.247","Browser","New York, United States","none","macOS","Edge"
"2025/06/23 22:22:49","user1@tenant.onmicrosoft.com","SharePoint Online","Success","146.137.14.180","Browser","Tokyo, Japan","none","macOS","Edge"
