"ユーザー名","使用容量","利用率","ファイル数","最終同期","状態"
"加藤masayuki@company.com","34.3 GB","34.3%","3,375","2025-05-22 21:01","正常"
"加藤masayuki@company.com","36.6 GB","36.6%","8,348","2025-05-31 23:01","正常"
"鈴木ichiro@company.com","19.8 GB","19.8%","509","2025-06-08 17:01","正常"
"渡辺hiroshi@company.com","49.8 GB","49.8%","5,040","2025-06-01 20:01","正常"
"渡辺hiroshi@company.com","35.6 GB","35.6%","779","2025-06-17 00:01","正常"
"中村koichi@company.com","2.5 GB","2.5%","8,467","2025-06-15 13:01","正常"
"小林yumi@company.com","1 GB","1%","4,709","2025-06-14 03:01","正常"
"渡辺hiroshi@company.com","42.7 GB","42.7%","8,366","2025-05-29 01:01","正常"
"吉田minako@company.com","4.8 GB","4.8%","2,739","2025-06-13 11:01","正常"
"渡辺hiroshi@company.com","35.2 GB","35.2%","8,907","2025-06-13 17:01","正常"
"山田jiro@company.com","13.5 GB","13.5%","1,699","2025-05-19 05:01","正常"
"山田jiro@company.com","39.1 GB","39.1%","7,681","2025-06-13 19:01","正常"
"田中taro@company.com","15.1 GB","15.1%","954","2025-06-13 16:01","正常"
"山田jiro@company.com","21.2 GB","21.2%","8,970","2025-05-26 02:01","正常"
"鈴木ichiro@company.com","15.3 GB","15.3%","901","2025-06-10 19:01","正常"
