"ユーザー名","使用容量","利用率","ファイル数","最終同期","状態"
"吉田minako@company.com","25.5 GB","25.5%","5,141","2025-06-15 16:20","正常"
"吉田minako@company.com","32.8 GB","32.8%","1,018","2025-06-06 22:20","正常"
"田中taro@company.com","14.3 GB","14.3%","1,690","2025-06-13 17:20","正常"
"山田jiro@company.com","34.7 GB","34.7%","9,855","2025-06-15 09:20","正常"
"佐藤hanako@company.com","19.9 GB","19.9%","904","2025-05-22 00:20","正常"
"小林yumi@company.com","43.3 GB","43.3%","1,955","2025-06-01 11:20","正常"
"吉田minako@company.com","607 MB","0.6%","4,896","2025-06-06 21:20","正常"
"鈴木ichiro@company.com","47 GB","47%","2,957","2025-05-24 09:20","正常"
"佐藤hanako@company.com","19.6 GB","19.6%","8,893","2025-05-23 10:20","正常"
"田中taro@company.com","284 MB","0.3%","2,999","2025-05-31 00:20","正常"
"鈴木ichiro@company.com","19.1 GB","19.1%","9,112","2025-05-24 01:20","正常"
"山田jiro@company.com","16.3 GB","16.3%","6,274","2025-06-02 01:20","正常"
"佐藤hanako@company.com","42.7 GB","42.7%","8,166","2025-06-03 03:20","正常"
"高橋miyuki@company.com","16.4 GB","16.4%","5,155","2025-05-31 04:20","正常"
"中村koichi@company.com","9 GB","9%","7,341","2025-06-17 03:20","正常"
