"ユーザー名","使用容量","利用率","ファイル数","最終同期","状態"
"渡辺hiroshi@company.com","19.5 GB","19.5%","5,910","2025-06-12 16:27","正常"
"吉田minako@company.com","122 MB","0.1%","7,271","2025-06-11 22:27","正常"
"高橋miyuki@company.com","36 GB","36%","8,289","2025-06-03 08:27","正常"
"鈴木ichiro@company.com","22.1 GB","22.1%","7,243","2025-06-08 03:27","正常"
"渡辺hiroshi@company.com","30.1 GB","30.1%","7,079","2025-05-24 16:27","正常"
"小林yumi@company.com","2.9 GB","2.9%","627","2025-05-23 10:27","正常"
"佐藤hanako@company.com","20.6 GB","20.6%","4,918","2025-05-28 19:27","正常"
"中村koichi@company.com","49 GB","49%","6,802","2025-06-09 20:27","正常"
"山田jiro@company.com","37 GB","37%","1,523","2025-06-05 14:27","正常"
"吉田minako@company.com","49.9 GB","49.9%","297","2025-06-09 05:27","正常"
"山田jiro@company.com","42.8 GB","42.8%","6,105","2025-06-16 03:27","正常"
"吉田minako@company.com","34.8 GB","34.8%","233","2025-06-03 06:27","正常"
"田中taro@company.com","44 GB","44%","9,649","2025-05-23 11:27","正常"
"高橋miyuki@company.com","44.2 GB","44.2%","1,930","2025-06-11 17:27","正常"
"小林yumi@company.com","34.1 GB","34.1%","6,370","2025-05-23 20:27","正常"
