"ユーザー名","使用容量","利用率","ファイル数","最終同期","状態"
"加藤masayuki@company.com","31.4 GB","31.4%","5,183","2025-06-17 18:49","正常"
"山田jiro@company.com","23.3 GB","23.3%","1,028","2025-06-02 02:49","正常"
"田中taro@company.com","24.3 GB","24.3%","4,572","2025-06-01 11:49","正常"
"佐藤hanako@company.com","47.4 GB","47.4%","7,209","2025-06-19 19:49","正常"
"吉田minako@company.com","45.8 GB","45.8%","1,886","2025-05-29 17:49","正常"
"鈴木ichiro@company.com","16.2 GB","16.2%","9,316","2025-06-08 13:49","正常"
"加藤masayuki@company.com","26.9 GB","26.9%","2,214","2025-06-16 07:49","正常"
"渡辺hiroshi@company.com","33.5 GB","33.5%","472","2025-06-08 11:49","正常"
"中村koichi@company.com","40.8 GB","40.8%","5,224","2025-06-07 14:49","正常"
"渡辺hiroshi@company.com","47.2 GB","47.2%","7,544","2025-06-04 15:49","正常"
"高橋miyuki@company.com","42.9 GB","42.9%","7,889","2025-06-02 00:49","正常"
"鈴木ichiro@company.com","23 GB","23%","9,787","2025-06-12 17:49","正常"
"小林yumi@company.com","37.1 GB","37.1%","9,837","2025-05-29 17:49","正常"
"中村koichi@company.com","8 GB","8%","5,186","2025-05-28 18:49","正常"
"高橋miyuki@company.com","14.9 GB","14.9%","8,535","2025-06-14 00:49","正常"
