"ユーザー名","使用容量","利用率","ファイル数","最終同期","状態"
"佐藤hanako@company.com","19.5 GB","19.5%","1,237","2025-05-20 12:33","正常"
"佐藤hanako@company.com","48.4 GB","48.4%","1,087","2025-06-09 20:33","正常"
"渡辺hiroshi@company.com","32.3 GB","32.3%","3,146","2025-06-09 16:33","正常"
"田中taro@company.com","17.9 GB","17.9%","6,946","2025-05-21 17:33","正常"
"吉田minako@company.com","13.9 GB","13.9%","1,498","2025-05-19 20:33","正常"
"鈴木ichiro@company.com","33.2 GB","33.2%","2,735","2025-05-25 14:33","正常"
"高橋miyuki@company.com","45 GB","45%","3,331","2025-06-06 19:33","正常"
"中村koichi@company.com","22 GB","22%","7,603","2025-05-22 00:33","正常"
"加藤masayuki@company.com","30 GB","30%","7,608","2025-06-02 14:33","正常"
"佐藤hanako@company.com","18 GB","18%","3,768","2025-05-29 06:33","正常"
"鈴木ichiro@company.com","31.8 GB","31.8%","5,510","2025-05-19 23:33","正常"
"高橋miyuki@company.com","31.5 GB","31.5%","7,560","2025-06-10 12:33","正常"
"佐藤hanako@company.com","35.4 GB","35.4%","4,744","2025-06-14 05:33","正常"
"中村koichi@company.com","31.9 GB","31.9%","6,504","2025-05-30 23:33","正常"
"渡辺hiroshi@company.com","29.2 GB","29.2%","4,573","2025-05-27 20:33","正常"
