"UserPrincipalName","DisplayName","Department","JobTitle","DriveId","DriveWebUrl","HasExternalSharing","ExternalShareCount","ExternalUserCount","PublicLinkCount","AnonymousLinkCount","SensitiveFileShareCount","SecurityRiskLevel","RiskFactors","LastExternalShareDate","ExternalDomains","RecommendedActions","AnalysisTimestamp"
"user1@miraiconst.onmicrosoft.com","サンプルユーザー1","総務部","新入社員","sample-drive-eef2c163","https://miraiconst-my.sharepoint.com/personal/user1_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:49:44"
"user2@miraiconst.onmicrosoft.com","サンプルユーザー2","人事部","部長","sample-drive-e06d407c","https://miraiconst-my.sharepoint.com/personal/user2_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:49:44"
"user3@miraiconst.onmicrosoft.com","サンプルユーザー3","技術部","新入社員","sample-drive-01af152e","https://miraiconst-my.sharepoint.com/personal/user3_miraiconst_onmicrosoft_com","True","3","2","0","1","0","低","サンプルデータ; 外部共有検出","2025/05/27 11:49:44","example.com; partner.co.jp","定期監視の継続","2025/06/13 11:49:44"
"user4@miraiconst.onmicrosoft.com","サンプルユーザー4","技術部","主任","sample-drive-71013ea3","https://miraiconst-my.sharepoint.com/personal/user4_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:49:44"
"user5@miraiconst.onmicrosoft.com","サンプルユーザー5","総務部","部長","sample-drive-e74e9f7f","https://miraiconst-my.sharepoint.com/personal/user5_miraiconst_onmicrosoft_com","True","4","1","1","1","0","中","サンプルデータ; 外部共有検出","2025/06/05 11:49:44","example.com; partner.co.jp","定期監視の継続","2025/06/13 11:49:44"
"user6@miraiconst.onmicrosoft.com","サンプルユーザー6","人事部","部長","sample-drive-333270eb","https://miraiconst-my.sharepoint.com/personal/user6_miraiconst_onmicrosoft_com","True","3","2","1","0","0","低","サンプルデータ; 外部共有検出","2025/06/03 11:49:44","example.com; partner.co.jp","定期監視の継続","2025/06/13 11:49:44"
"user7@miraiconst.onmicrosoft.com","サンプルユーザー7","管理部","新入社員","sample-drive-9425a1cb","https://miraiconst-my.sharepoint.com/personal/user7_miraiconst_onmicrosoft_com","True","4","1","0","1","0","中","サンプルデータ; 外部共有検出","2025/05/18 11:49:44","example.com; partner.co.jp","定期監視の継続","2025/06/13 11:49:44"
"user8@miraiconst.onmicrosoft.com","サンプルユーザー8","技術部","課長","sample-drive-8ddb8bdb","https://miraiconst-my.sharepoint.com/personal/user8_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:49:44"
"user9@miraiconst.onmicrosoft.com","サンプルユーザー9","総務部","課長","sample-drive-050beb68","https://miraiconst-my.sharepoint.com/personal/user9_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:49:44"
"user10@miraiconst.onmicrosoft.com","サンプルユーザー10","管理部","一般","sample-drive-4a526e87","https://miraiconst-my.sharepoint.com/personal/user10_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:49:44"
