"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"木村kenta@company.com","木村健太","開発部","有効","2025-06-06 13:01","有効","低"
"吉田minako@company.com","吉田美奈子","品質管理部","有効","2025-05-28 19:01","有効","低"
"中島masayuki@company.com","中島正幸","営業企画部","確認中","2025-06-07 21:01","無効","低"
"伊藤akira@company.com","伊藤明","経理部","確認中","2025-05-30 23:01","有効","中"
"早川michiko@company.com","早川美智子","開発部","有効","2025-05-31 15:01","有効","低"
"中島masayuki@company.com","中島正幸","営業企画部","無効","2025-06-02 05:01","有効","中"
"吉田minako@company.com","吉田美奈子","経理部","有効","2025-06-10 12:01","有効","中"
"早川michiko@company.com","早川美智子","IT部","確認中","2025-05-27 01:01","有効","低"
"中島masayuki@company.com","中島正幸","営業企画部","有効","2025-05-20 05:01","有効","低"
"渡辺hiroshi@company.com","渡辺弘志","IT部","無効","2025-06-03 15:01","有効","高"
"渡辺hiroshi@company.com","渡辺弘志","IT部","有効","2025-06-07 08:01","有効","中"
"中島masayuki@company.com","中島正幸","人事部","確認中","2025-06-06 02:01","無効","低"
"田中taro@company.com","田中太郎","人事部","確認中","2025-05-24 03:01","有効","低"
"田中taro@company.com","田中太郎","IT部","無効","2025-06-05 06:01","有効","高"
"高橋miyuki@company.com","高橋美由紀","営業企画部","確認中","2025-06-10 20:01","有効","中"
"山田jiro@company.com","山田次郎","営業企画部","無効","2025-06-11 04:01","無効","高"
"佐藤hanako@company.com","佐藤花子","営業企画部","確認中","2025-05-30 04:01","有効","中"
"松本keiko@company.com","松本恵子","経理部","有効","2025-06-09 02:01","無効","低"
"早川michiko@company.com","早川美智子","営業部","確認中","2025-06-07 19:01","有効","低"
"佐藤hanako@company.com","佐藤花子","営業企画部","有効","2025-05-29 17:01","有効","低"
