"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"吉田minako@company.com","吉田美奈子","人事部","有効","2025-06-05 14:51","有効","中"
"岩井daisuke@company.com","岩井大輔","品質管理部","有効","2025-06-14 10:51","有効","中"
"田中taro@company.com","田中太郎","営業部","確認中","2025-06-03 11:51","有効","低"
"伊藤akira@company.com","伊藤明","総務部","無効","2025-06-06 14:51","有効","高"
"中島masayuki@company.com","中島正幸","マーケティング部","確認中","2025-06-15 08:51","有効","低"
"山田jiro@company.com","山田次郎","経理部","確認中","2025-05-27 05:51","有効","低"
"山口kaori@company.com","山口香織","品質管理部","無効","2025-06-07 07:51","有効","中"
"松本keiko@company.com","松本恵子","品質管理部","確認中","2025-06-03 19:51","有効","中"
"吉田minako@company.com","吉田美奈子","経理部","無効","2025-06-16 17:51","有効","中"
"高橋miyuki@company.com","高橋美由紀","人事部","確認中","2025-05-27 03:51","無効","低"
"加藤masayuki@company.com","加藤正幸","開発部","確認中","2025-06-20 19:51","有効","低"
"大塚yuko@company.com","大塚裕子","開発部","有効","2025-06-16 06:51","有効","低"
"大塚yuko@company.com","大塚裕子","開発部","有効","2025-06-13 20:51","有効","低"
"田中taro@company.com","田中太郎","営業部","有効","2025-06-03 07:51","有効","中"
"山田jiro@company.com","山田次郎","マーケティング部","確認中","2025-06-08 03:51","無効","低"
"松本keiko@company.com","松本恵子","人事部","有効","2025-06-11 22:51","有効","中"
"伊藤akira@company.com","伊藤明","営業企画部","有効","2025-06-04 16:51","有効","低"
"岩井daisuke@company.com","岩井大輔","営業企画部","有効","2025-06-02 01:51","有効","中"
"大塚yuko@company.com","大塚裕子","総務部","無効","2025-06-13 15:51","有効","中"
"山口kaori@company.com","山口香織","人事部","有効","2025-06-22 11:51","有効","低"
