"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"大塚yuko@company.com","大塚裕子","営業部","確認中","2025-05-22 03:28","無効","低"
"岩井daisuke@company.com","岩井大輔","営業部","無効","2025-05-23 16:28","有効","中"
"木村kenta@company.com","木村健太","品質管理部","確認中","2025-06-05 12:28","有効","低"
"伊藤akira@company.com","伊藤明","品質管理部","有効","2025-05-30 17:28","有効","低"
"山田jiro@company.com","山田次郎","品質管理部","確認中","2025-05-21 18:28","有効","中"
"西田masao@company.com","西田正雄","経理部","確認中","2025-06-14 23:28","有効","低"
"山田jiro@company.com","山田次郎","経理部","有効","2025-06-10 00:28","有効","低"
"田中taro@company.com","田中太郎","IT部","確認中","2025-06-14 00:28","有効","中"
"早川michiko@company.com","早川美智子","開発部","有効","2025-06-15 04:28","有効","中"
"加藤masayuki@company.com","加藤正幸","品質管理部","有効","2025-05-26 06:28","有効","低"
"早川michiko@company.com","早川美智子","開発部","有効","2025-05-30 06:28","有効","低"
"中村koichi@company.com","中村宏一","品質管理部","確認中","2025-06-05 18:28","有効","低"
"村田miyuki@company.com","村田美由紀","品質管理部","確認中","2025-06-06 07:28","有効","低"
"高橋miyuki@company.com","高橋美由紀","品質管理部","無効","2025-06-09 16:28","有効","中"
"加藤masayuki@company.com","加藤正幸","品質管理部","確認中","2025-05-24 20:28","無効","低"
"山田jiro@company.com","山田次郎","IT部","確認中","2025-05-24 18:28","有効","低"
"田中taro@company.com","田中太郎","営業企画部","有効","2025-05-28 08:28","有効","低"
"伊藤akira@company.com","伊藤明","営業企画部","無効","2025-06-12 03:28","有効","高"
"木村kenta@company.com","木村健太","総務部","有効","2025-05-27 20:28","有効","低"
"佐藤hanako@company.com","佐藤花子","品質管理部","確認中","2025-05-22 21:28","有効","低"
