"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"西田masao@company.com","西田正雄","営業企画部","有効","2025-05-26 19:01","有効","低"
"大塚yuko@company.com","大塚裕子","人事部","確認中","2025-06-06 15:01","有効","低"
"岩井daisuke@company.com","岩井大輔","IT部","無効","2025-05-25 05:01","有効","高"
"吉田minako@company.com","吉田美奈子","営業部","有効","2025-05-20 18:01","有効","低"
"佐藤hanako@company.com","佐藤花子","開発部","確認中","2025-06-08 16:01","有効","低"
"岩井daisuke@company.com","岩井大輔","総務部","無効","2025-05-18 17:01","有効","中"
"西田masao@company.com","西田正雄","IT部","確認中","2025-05-30 23:01","有効","低"
"鈴木ichiro@company.com","鈴木一郎","IT部","有効","2025-05-31 15:01","有効","中"
"鈴木ichiro@company.com","鈴木一郎","営業企画部","有効","2025-06-12 17:01","有効","低"
"大塚yuko@company.com","大塚裕子","人事部","有効","2025-06-04 23:01","無効","低"
"中島masayuki@company.com","中島正幸","人事部","有効","2025-06-14 13:01","無効","低"
"木村kenta@company.com","木村健太","総務部","確認中","2025-06-11 11:01","有効","低"
"加藤masayuki@company.com","加藤正幸","営業部","有効","2025-06-12 13:01","有効","低"
"吉田minako@company.com","吉田美奈子","営業部","有効","2025-06-03 08:01","有効","低"
"早川michiko@company.com","早川美智子","総務部","無効","2025-05-31 17:01","有効","高"
"佐藤hanako@company.com","佐藤花子","人事部","確認中","2025-06-15 06:01","有効","低"
"高橋miyuki@company.com","高橋美由紀","営業部","有効","2025-05-25 20:01","有効","低"
"村田miyuki@company.com","村田美由紀","営業部","有効","2025-05-26 00:01","有効","低"
"吉田minako@company.com","吉田美奈子","開発部","有効","2025-06-15 23:01","有効","低"
"加藤masayuki@company.com","加藤正幸","人事部","確認中","2025-05-29 13:01","無効","低"
