"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"佐藤hanako@company.com","佐藤花子","経理部","有効","2025-06-16 12:18","有効","低"
"鈴木ichiro@company.com","鈴木一郎","IT部","有効","2025-06-07 14:18","有効","低"
"村田miyuki@company.com","村田美由紀","営業部","無効","2025-05-20 07:18","有効","中"
"中村koichi@company.com","中村宏一","総務部","無効","2025-05-22 20:18","有効","高"
"早川michiko@company.com","早川美智子","IT部","有効","2025-06-15 06:18","有効","低"
"山口kaori@company.com","山口香織","経理部","無効","2025-05-23 22:18","有効","高"
"村田miyuki@company.com","村田美由紀","営業部","無効","2025-05-28 20:18","有効","高"
"中村koichi@company.com","中村宏一","品質管理部","無効","2025-05-20 14:18","有効","中"
"岩井daisuke@company.com","岩井大輔","経理部","確認中","2025-06-14 06:18","有効","低"
"大塚yuko@company.com","大塚裕子","営業企画部","確認中","2025-05-26 22:18","有効","中"
"吉田minako@company.com","吉田美奈子","経理部","有効","2025-06-15 01:18","有効","低"
"高橋miyuki@company.com","高橋美由紀","マーケティング部","確認中","2025-05-31 05:18","有効","低"
"大塚yuko@company.com","大塚裕子","総務部","無効","2025-06-14 11:18","有効","中"
"大塚yuko@company.com","大塚裕子","営業部","確認中","2025-06-03 12:18","有効","低"
"加藤masayuki@company.com","加藤正幸","マーケティング部","確認中","2025-05-27 23:18","有効","低"
"山口kaori@company.com","山口香織","人事部","確認中","2025-05-28 21:18","有効","低"
"高橋miyuki@company.com","高橋美由紀","マーケティング部","無効","2025-06-11 07:18","有効","中"
"高橋miyuki@company.com","高橋美由紀","マーケティング部","確認中","2025-05-23 10:18","無効","低"
"中村koichi@company.com","中村宏一","営業企画部","有効","2025-06-06 09:18","有効","中"
"木村kenta@company.com","木村健太","品質管理部","確認中","2025-06-02 04:18","有効","低"
