"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"山田jiro@company.com","山田次郎","営業企画部","有効","2025-05-23 14:43","有効","低"
"伊藤akira@company.com","伊藤明","IT部","有効","2025-06-13 12:43","有効","低"
"鈴木ichiro@company.com","鈴木一郎","経理部","無効","2025-06-10 04:43","有効","中"
"大塚yuko@company.com","大塚裕子","経理部","確認中","2025-06-12 09:43","有効","低"
"鈴木ichiro@company.com","鈴木一郎","IT部","有効","2025-06-03 01:43","無効","中"
"渡辺hiroshi@company.com","渡辺弘志","IT部","無効","2025-06-11 23:43","有効","中"
"鈴木ichiro@company.com","鈴木一郎","営業企画部","無効","2025-05-24 20:43","有効","中"
"吉田minako@company.com","吉田美奈子","人事部","無効","2025-06-10 15:43","有効","中"
"高橋miyuki@company.com","高橋美由紀","人事部","無効","2025-05-24 22:43","無効","中"
"中村koichi@company.com","中村宏一","営業部","有効","2025-06-17 02:43","無効","低"
"西田masao@company.com","西田正雄","マーケティング部","無効","2025-05-23 23:43","有効","高"
"中村koichi@company.com","中村宏一","営業部","有効","2025-05-26 08:43","有効","低"
"渡辺hiroshi@company.com","渡辺弘志","総務部","無効","2025-06-14 13:43","有効","中"
"吉田minako@company.com","吉田美奈子","経理部","有効","2025-05-28 01:43","有効","低"
"中島masayuki@company.com","中島正幸","IT部","無効","2025-05-25 15:43","有効","高"
"加藤masayuki@company.com","加藤正幸","総務部","確認中","2025-06-09 23:43","有効","中"
"早川michiko@company.com","早川美智子","マーケティング部","無効","2025-05-27 13:43","有効","中"
"田中taro@company.com","田中太郎","営業部","有効","2025-05-22 14:43","有効","中"
"岩井daisuke@company.com","岩井大輔","総務部","有効","2025-05-24 08:43","有効","低"
"早川michiko@company.com","早川美智子","マーケティング部","確認中","2025-05-29 10:43","有効","低"
