"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"佐藤hanako@company.com","佐藤花子","品質管理部","無効","2025-06-05 12:21","有効","高"
"小林yumi@company.com","小林ゆみ","品質管理部","有効","2025-05-28 12:21","無効","低"
"渡辺hiroshi@company.com","渡辺弘志","総務部","有効","2025-06-10 09:21","無効","低"
"松本keiko@company.com","松本恵子","営業企画部","有効","2025-06-13 18:21","有効","低"
"伊藤akira@company.com","伊藤明","開発部","確認中","2025-06-08 23:21","有効","低"
"木村kenta@company.com","木村健太","マーケティング部","有効","2025-05-18 16:21","有効","中"
"伊藤akira@company.com","伊藤明","営業部","有効","2025-05-19 06:21","有効","低"
"佐藤hanako@company.com","佐藤花子","営業部","有効","2025-06-15 16:21","無効","低"
"伊藤akira@company.com","伊藤明","人事部","無効","2025-05-27 03:21","有効","中"
"加藤masayuki@company.com","加藤正幸","品質管理部","確認中","2025-05-28 09:21","有効","中"
"山口kaori@company.com","山口香織","営業部","確認中","2025-06-16 06:21","有効","低"
"小林yumi@company.com","小林ゆみ","営業企画部","有効","2025-05-22 09:21","無効","低"
"田中taro@company.com","田中太郎","品質管理部","確認中","2025-06-13 03:21","有効","低"
"木村kenta@company.com","木村健太","経理部","有効","2025-06-13 00:21","有効","低"
"松本keiko@company.com","松本恵子","経理部","確認中","2025-06-04 08:21","有効","中"
"佐藤hanako@company.com","佐藤花子","品質管理部","確認中","2025-06-15 00:21","有効","低"
"山田jiro@company.com","山田次郎","マーケティング部","確認中","2025-06-05 01:21","有効","低"
"小林yumi@company.com","小林ゆみ","開発部","有効","2025-05-29 07:21","有効","低"
"加藤masayuki@company.com","加藤正幸","総務部","確認中","2025-06-11 16:21","有効","中"
"岩井daisuke@company.com","岩井大輔","品質管理部","有効","2025-06-05 20:21","有効","低"
