"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","渡辺健一","開発部","2025-07-15 12:16:23","警告","59","Daily"
"2","佐藤次郎","総務部","2025-07-14 12:16:23","警告","96","Daily"
"3","佐藤次郎","人事部","2025-07-13 12:16:23","正常","14","Daily"
"4","高橋美咲","人事部","2025-07-12 12:16:23","正常","50","Daily"
"5","佐藤次郎","開発部","2025-07-11 12:16:23","注意","32","Daily"
"6","鈴木花子","営業部","2025-07-10 12:16:23","警告","58","Daily"
"7","鈴木花子","総務部","2025-07-09 12:16:23","正常","26","Daily"
"8","鈴木花子","営業部","2025-07-08 12:16:23","正常","72","Daily"
"9","渡辺健一","人事部","2025-07-07 12:16:23","注意","45","Daily"
"10","鈴木花子","人事部","2025-07-06 12:16:23","警告","96","Daily"
"11","渡辺健一","開発部","2025-07-05 12:16:23","注意","24","Daily"
"12","高橋美咲","経理部","2025-07-04 12:16:23","警告","46","Daily"
"13","高橋美咲","開発部","2025-07-03 12:16:23","警告","51","Daily"
"14","渡辺健一","営業部","2025-07-02 12:16:23","警告","99","Daily"
"15","鈴木花子","人事部","2025-07-01 12:16:23","注意","81","Daily"
"16","田中太郎","総務部","2025-06-30 12:16:23","正常","58","Daily"
"17","高橋美咲","営業部","2025-06-29 12:16:23","警告","90","Daily"
"18","佐藤次郎","開発部","2025-06-28 12:16:23","警告","76","Daily"
"19","渡辺健一","営業部","2025-06-27 12:16:23","注意","83","Daily"
"20","鈴木花子","総務部","2025-06-26 12:16:23","警告","96","Daily"
"21","佐藤次郎","営業部","2025-06-25 12:16:23","正常","43","Daily"
"22","高橋美咲","開発部","2025-06-24 12:16:23","正常","37","Daily"
"23","渡辺健一","営業部","2025-06-23 12:16:23","注意","72","Daily"
"24","渡辺健一","営業部","2025-06-22 12:16:23","正常","93","Daily"
"25","渡辺健一","総務部","2025-06-21 12:16:23","警告","38","Daily"
"26","田中太郎","人事部","2025-06-20 12:16:23","正常","14","Daily"
"27","渡辺健一","人事部","2025-06-19 12:16:23","正常","44","Daily"
"28","田中太郎","経理部","2025-06-18 12:16:23","警告","35","Daily"
"29","渡辺健一","開発部","2025-06-17 12:16:23","注意","92","Daily"
"30","佐藤次郎","営業部","2025-06-16 12:16:23","警告","90","Daily"
"31","佐藤次郎","人事部","2025-06-15 12:16:23","正常","71","Daily"
"32","渡辺健一","人事部","2025-06-14 12:16:23","正常","74","Daily"
"33","鈴木花子","総務部","2025-06-13 12:16:23","警告","41","Daily"
"34","佐藤次郎","開発部","2025-06-12 12:16:23","注意","28","Daily"
"35","佐藤次郎","人事部","2025-06-11 12:16:23","警告","82","Daily"
"36","田中太郎","人事部","2025-06-10 12:16:23","警告","59","Daily"
"37","鈴木花子","経理部","2025-06-09 12:16:23","注意","37","Daily"
"38","佐藤次郎","経理部","2025-06-08 12:16:23","正常","34","Daily"
"39","高橋美咲","経理部","2025-06-07 12:16:23","注意","28","Daily"
"40","鈴木花子","開発部","2025-06-06 12:16:23","注意","21","Daily"
"41","鈴木花子","総務部","2025-06-05 12:16:23","正常","51","Daily"
"42","渡辺健一","営業部","2025-06-04 12:16:23","警告","24","Daily"
"43","田中太郎","総務部","2025-06-03 12:16:23","正常","93","Daily"
"44","鈴木花子","営業部","2025-06-02 12:16:23","注意","25","Daily"
"45","田中太郎","営業部","2025-06-01 12:16:23","正常","84","Daily"
"46","田中太郎","開発部","2025-05-31 12:16:23","注意","67","Daily"
"47","田中太郎","経理部","2025-05-30 12:16:23","正常","39","Daily"
"48","鈴木花子","経理部","2025-05-29 12:16:23","正常","83","Daily"
"49","鈴木花子","開発部","2025-05-28 12:16:23","注意","59","Daily"
"50","佐藤次郎","開発部","2025-05-27 12:16:23","警告","19","Daily"
