"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","高橋美咲","総務部","2025-07-15 12:12:34","正常","60","Daily"
"2","佐藤次郎","営業部","2025-07-14 12:12:34","警告","60","Daily"
"3","渡辺健一","営業部","2025-07-13 12:12:34","注意","71","Daily"
"4","田中太郎","人事部","2025-07-12 12:12:34","警告","92","Daily"
"5","佐藤次郎","人事部","2025-07-11 12:12:34","警告","16","Daily"
"6","渡辺健一","人事部","2025-07-10 12:12:34","警告","23","Daily"
"7","鈴木花子","開発部","2025-07-09 12:12:34","警告","23","Daily"
"8","田中太郎","営業部","2025-07-08 12:12:34","正常","11","Daily"
"9","佐藤次郎","総務部","2025-07-07 12:12:34","正常","45","Daily"
"10","田中太郎","総務部","2025-07-06 12:12:34","警告","92","Daily"
"11","渡辺健一","経理部","2025-07-05 12:12:34","注意","69","Daily"
"12","渡辺健一","経理部","2025-07-04 12:12:34","正常","31","Daily"
"13","高橋美咲","総務部","2025-07-03 12:12:34","警告","86","Daily"
"14","鈴木花子","人事部","2025-07-02 12:12:34","注意","37","Daily"
"15","渡辺健一","総務部","2025-07-01 12:12:34","正常","58","Daily"
"16","渡辺健一","営業部","2025-06-30 12:12:34","注意","88","Daily"
"17","高橋美咲","人事部","2025-06-29 12:12:34","正常","69","Daily"
"18","田中太郎","経理部","2025-06-28 12:12:34","注意","24","Daily"
"19","鈴木花子","営業部","2025-06-27 12:12:34","警告","42","Daily"
"20","高橋美咲","人事部","2025-06-26 12:12:34","警告","31","Daily"
"21","渡辺健一","総務部","2025-06-25 12:12:34","警告","22","Daily"
"22","田中太郎","経理部","2025-06-24 12:12:34","正常","68","Daily"
"23","鈴木花子","人事部","2025-06-23 12:12:34","警告","51","Daily"
"24","渡辺健一","総務部","2025-06-22 12:12:34","警告","29","Daily"
"25","鈴木花子","人事部","2025-06-21 12:12:34","注意","60","Daily"
"26","渡辺健一","開発部","2025-06-20 12:12:34","注意","16","Daily"
"27","佐藤次郎","営業部","2025-06-19 12:12:34","警告","12","Daily"
"28","渡辺健一","開発部","2025-06-18 12:12:34","警告","74","Daily"
"29","高橋美咲","総務部","2025-06-17 12:12:34","警告","42","Daily"
"30","佐藤次郎","経理部","2025-06-16 12:12:34","正常","66","Daily"
"31","高橋美咲","開発部","2025-06-15 12:12:34","警告","54","Daily"
"32","鈴木花子","経理部","2025-06-14 12:12:34","注意","83","Daily"
"33","田中太郎","営業部","2025-06-13 12:12:34","注意","11","Daily"
"34","鈴木花子","総務部","2025-06-12 12:12:34","注意","13","Daily"
"35","田中太郎","開発部","2025-06-11 12:12:34","警告","41","Daily"
"36","鈴木花子","総務部","2025-06-10 12:12:34","警告","82","Daily"
"37","鈴木花子","開発部","2025-06-09 12:12:34","警告","87","Daily"
"38","田中太郎","営業部","2025-06-08 12:12:34","注意","43","Daily"
"39","佐藤次郎","人事部","2025-06-07 12:12:34","注意","63","Daily"
"40","渡辺健一","総務部","2025-06-06 12:12:34","警告","88","Daily"
"41","渡辺健一","開発部","2025-06-05 12:12:34","警告","43","Daily"
"42","佐藤次郎","経理部","2025-06-04 12:12:34","警告","53","Daily"
"43","田中太郎","人事部","2025-06-03 12:12:34","警告","13","Daily"
"44","高橋美咲","営業部","2025-06-02 12:12:34","警告","76","Daily"
"45","佐藤次郎","開発部","2025-06-01 12:12:34","警告","11","Daily"
"46","渡辺健一","開発部","2025-05-31 12:12:34","警告","99","Daily"
"47","鈴木花子","総務部","2025-05-30 12:12:34","注意","83","Daily"
"48","鈴木花子","営業部","2025-05-29 12:12:34","正常","55","Daily"
"49","高橋美咲","開発部","2025-05-28 12:12:34","警告","71","Daily"
"50","田中太郎","人事部","2025-05-27 12:12:34","警告","15","Daily"
