"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","鈴木花子","営業部","2025-07-15 11:56:57","警告","65","Daily"
"2","高橋美咲","開発部","2025-07-14 11:56:57","正常","35","Daily"
"3","佐藤次郎","総務部","2025-07-13 11:56:57","警告","30","Daily"
"4","鈴木花子","営業部","2025-07-12 11:56:57","警告","38","Daily"
"5","佐藤次郎","人事部","2025-07-11 11:56:57","警告","25","Daily"
"6","田中太郎","総務部","2025-07-10 11:56:57","警告","52","Daily"
"7","佐藤次郎","人事部","2025-07-09 11:56:57","注意","63","Daily"
"8","鈴木花子","総務部","2025-07-08 11:56:57","正常","11","Daily"
"9","渡辺健一","人事部","2025-07-07 11:56:57","警告","76","Daily"
"10","佐藤次郎","人事部","2025-07-06 11:56:57","注意","41","Daily"
"11","田中太郎","人事部","2025-07-05 11:56:57","注意","85","Daily"
"12","佐藤次郎","営業部","2025-07-04 11:56:57","注意","60","Daily"
"13","田中太郎","人事部","2025-07-03 11:56:57","警告","99","Daily"
"14","鈴木花子","開発部","2025-07-02 11:56:57","正常","36","Daily"
"15","渡辺健一","営業部","2025-07-01 11:56:57","正常","92","Daily"
"16","渡辺健一","営業部","2025-06-30 11:56:57","警告","16","Daily"
"17","田中太郎","開発部","2025-06-29 11:56:57","警告","95","Daily"
"18","渡辺健一","営業部","2025-06-28 11:56:57","警告","31","Daily"
"19","佐藤次郎","人事部","2025-06-27 11:56:57","注意","47","Daily"
"20","佐藤次郎","人事部","2025-06-26 11:56:57","正常","63","Daily"
"21","田中太郎","人事部","2025-06-25 11:56:57","正常","36","Daily"
"22","高橋美咲","経理部","2025-06-24 11:56:57","注意","65","Daily"
"23","鈴木花子","経理部","2025-06-23 11:56:57","警告","33","Daily"
"24","佐藤次郎","営業部","2025-06-22 11:56:57","警告","38","Daily"
"25","佐藤次郎","経理部","2025-06-21 11:56:57","注意","76","Daily"
"26","高橋美咲","人事部","2025-06-20 11:56:57","注意","10","Daily"
"27","田中太郎","人事部","2025-06-19 11:56:57","警告","71","Daily"
"28","高橋美咲","経理部","2025-06-18 11:56:57","正常","36","Daily"
"29","田中太郎","人事部","2025-06-17 11:56:57","注意","26","Daily"
"30","高橋美咲","経理部","2025-06-16 11:56:57","警告","57","Daily"
"31","佐藤次郎","人事部","2025-06-15 11:56:57","警告","32","Daily"
"32","田中太郎","開発部","2025-06-14 11:56:57","警告","28","Daily"
"33","高橋美咲","経理部","2025-06-13 11:56:57","注意","89","Daily"
"34","高橋美咲","人事部","2025-06-12 11:56:57","正常","31","Daily"
"35","高橋美咲","経理部","2025-06-11 11:56:57","警告","26","Daily"
"36","佐藤次郎","総務部","2025-06-10 11:56:57","正常","62","Daily"
"37","鈴木花子","営業部","2025-06-09 11:56:57","正常","89","Daily"
"38","渡辺健一","営業部","2025-06-08 11:56:57","注意","31","Daily"
"39","渡辺健一","開発部","2025-06-07 11:56:57","注意","13","Daily"
"40","田中太郎","営業部","2025-06-06 11:56:57","警告","41","Daily"
"41","渡辺健一","人事部","2025-06-05 11:56:57","正常","56","Daily"
"42","渡辺健一","営業部","2025-06-04 11:56:57","警告","30","Daily"
"43","佐藤次郎","経理部","2025-06-03 11:56:57","注意","85","Daily"
"44","佐藤次郎","営業部","2025-06-02 11:56:57","注意","93","Daily"
"45","高橋美咲","経理部","2025-06-01 11:56:57","警告","78","Daily"
"46","佐藤次郎","開発部","2025-05-31 11:56:57","警告","11","Daily"
"47","鈴木花子","総務部","2025-05-30 11:56:57","警告","19","Daily"
"48","渡辺健一","営業部","2025-05-29 11:56:57","警告","28","Daily"
"49","佐藤次郎","総務部","2025-05-28 11:56:57","警告","59","Daily"
"50","佐藤次郎","経理部","2025-05-27 11:56:57","注意","46","Daily"
