"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","田中太郎","経理部","2025-07-15 11:51:04","警告","85","Daily"
"2","高橋美咲","総務部","2025-07-14 11:51:04","警告","69","Daily"
"3","鈴木花子","開発部","2025-07-13 11:51:04","警告","80","Daily"
"4","佐藤次郎","総務部","2025-07-12 11:51:04","正常","12","Daily"
"5","田中太郎","人事部","2025-07-11 11:51:04","注意","84","Daily"
"6","佐藤次郎","経理部","2025-07-10 11:51:04","警告","10","Daily"
"7","鈴木花子","経理部","2025-07-09 11:51:04","警告","78","Daily"
"8","佐藤次郎","開発部","2025-07-08 11:51:04","正常","54","Daily"
"9","田中太郎","開発部","2025-07-07 11:51:04","注意","77","Daily"
"10","田中太郎","総務部","2025-07-06 11:51:04","注意","43","Daily"
"11","鈴木花子","経理部","2025-07-05 11:51:04","注意","68","Daily"
"12","高橋美咲","経理部","2025-07-04 11:51:04","注意","61","Daily"
"13","佐藤次郎","経理部","2025-07-03 11:51:04","警告","70","Daily"
"14","渡辺健一","経理部","2025-07-02 11:51:04","警告","46","Daily"
"15","鈴木花子","総務部","2025-07-01 11:51:04","正常","94","Daily"
"16","高橋美咲","総務部","2025-06-30 11:51:04","注意","43","Daily"
"17","渡辺健一","人事部","2025-06-29 11:51:04","注意","38","Daily"
"18","渡辺健一","総務部","2025-06-28 11:51:04","正常","58","Daily"
"19","高橋美咲","営業部","2025-06-27 11:51:04","注意","16","Daily"
"20","佐藤次郎","営業部","2025-06-26 11:51:04","警告","42","Daily"
"21","鈴木花子","総務部","2025-06-25 11:51:04","正常","50","Daily"
"22","高橋美咲","開発部","2025-06-24 11:51:04","注意","71","Daily"
"23","渡辺健一","経理部","2025-06-23 11:51:04","正常","90","Daily"
"24","田中太郎","営業部","2025-06-22 11:51:04","警告","77","Daily"
"25","鈴木花子","営業部","2025-06-21 11:51:04","正常","39","Daily"
"26","田中太郎","開発部","2025-06-20 11:51:04","注意","88","Daily"
"27","佐藤次郎","開発部","2025-06-19 11:51:04","正常","17","Daily"
"28","田中太郎","開発部","2025-06-18 11:51:04","正常","12","Daily"
"29","田中太郎","営業部","2025-06-17 11:51:04","警告","91","Daily"
"30","佐藤次郎","経理部","2025-06-16 11:51:04","正常","98","Daily"
"31","高橋美咲","総務部","2025-06-15 11:51:04","正常","34","Daily"
"32","鈴木花子","総務部","2025-06-14 11:51:04","警告","27","Daily"
"33","田中太郎","経理部","2025-06-13 11:51:04","警告","74","Daily"
"34","渡辺健一","開発部","2025-06-12 11:51:04","注意","56","Daily"
"35","田中太郎","開発部","2025-06-11 11:51:04","注意","54","Daily"
"36","渡辺健一","開発部","2025-06-10 11:51:04","警告","71","Daily"
"37","鈴木花子","開発部","2025-06-09 11:51:04","正常","84","Daily"
"38","渡辺健一","経理部","2025-06-08 11:51:04","注意","44","Daily"
"39","高橋美咲","経理部","2025-06-07 11:51:04","正常","67","Daily"
"40","佐藤次郎","営業部","2025-06-06 11:51:04","正常","20","Daily"
"41","高橋美咲","人事部","2025-06-05 11:51:04","正常","37","Daily"
"42","鈴木花子","開発部","2025-06-04 11:51:04","注意","91","Daily"
"43","鈴木花子","人事部","2025-06-03 11:51:04","警告","21","Daily"
"44","高橋美咲","人事部","2025-06-02 11:51:04","警告","10","Daily"
"45","田中太郎","経理部","2025-06-01 11:51:04","注意","20","Daily"
"46","鈴木花子","経理部","2025-05-31 11:51:04","正常","74","Daily"
"47","佐藤次郎","経理部","2025-05-30 11:51:04","注意","68","Daily"
"48","鈴木花子","経理部","2025-05-29 11:51:04","正常","75","Daily"
"49","佐藤次郎","開発部","2025-05-28 11:51:04","注意","52","Daily"
"50","佐藤次郎","総務部","2025-05-27 11:51:04","注意","43","Daily"
