"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","渡辺健一","営業部","2025-07-15 11:47:22","正常","71","Daily"
"2","渡辺健一","総務部","2025-07-14 11:47:22","正常","51","Daily"
"3","高橋美咲","経理部","2025-07-13 11:47:22","注意","20","Daily"
"4","鈴木花子","営業部","2025-07-12 11:47:22","注意","39","Daily"
"5","佐藤次郎","営業部","2025-07-11 11:47:22","正常","30","Daily"
"6","田中太郎","営業部","2025-07-10 11:47:22","正常","12","Daily"
"7","鈴木花子","営業部","2025-07-09 11:47:22","注意","39","Daily"
"8","鈴木花子","経理部","2025-07-08 11:47:22","注意","44","Daily"
"9","佐藤次郎","人事部","2025-07-07 11:47:22","警告","19","Daily"
"10","高橋美咲","営業部","2025-07-06 11:47:22","注意","11","Daily"
"11","鈴木花子","総務部","2025-07-05 11:47:22","警告","54","Daily"
"12","佐藤次郎","開発部","2025-07-04 11:47:22","正常","76","Daily"
"13","高橋美咲","営業部","2025-07-03 11:47:22","注意","32","Daily"
"14","佐藤次郎","経理部","2025-07-02 11:47:22","警告","41","Daily"
"15","鈴木花子","総務部","2025-07-01 11:47:22","注意","78","Daily"
"16","鈴木花子","経理部","2025-06-30 11:47:22","注意","59","Daily"
"17","高橋美咲","開発部","2025-06-29 11:47:22","警告","32","Daily"
"18","佐藤次郎","開発部","2025-06-28 11:47:22","注意","59","Daily"
"19","佐藤次郎","経理部","2025-06-27 11:47:22","正常","93","Daily"
"20","高橋美咲","総務部","2025-06-26 11:47:22","正常","34","Daily"
"21","田中太郎","営業部","2025-06-25 11:47:22","注意","69","Daily"
"22","渡辺健一","経理部","2025-06-24 11:47:22","警告","43","Daily"
"23","佐藤次郎","営業部","2025-06-23 11:47:22","注意","63","Daily"
"24","渡辺健一","営業部","2025-06-22 11:47:22","警告","37","Daily"
"25","田中太郎","営業部","2025-06-21 11:47:22","正常","75","Daily"
"26","佐藤次郎","人事部","2025-06-20 11:47:22","正常","27","Daily"
"27","鈴木花子","総務部","2025-06-19 11:47:22","警告","57","Daily"
"28","佐藤次郎","総務部","2025-06-18 11:47:22","正常","42","Daily"
"29","田中太郎","経理部","2025-06-17 11:47:22","警告","38","Daily"
"30","田中太郎","総務部","2025-06-16 11:47:22","警告","41","Daily"
"31","佐藤次郎","人事部","2025-06-15 11:47:22","正常","81","Daily"
"32","渡辺健一","営業部","2025-06-14 11:47:22","正常","76","Daily"
"33","鈴木花子","営業部","2025-06-13 11:47:22","警告","66","Daily"
"34","田中太郎","経理部","2025-06-12 11:47:22","警告","38","Daily"
"35","田中太郎","営業部","2025-06-11 11:47:22","正常","12","Daily"
"36","田中太郎","営業部","2025-06-10 11:47:22","警告","57","Daily"
"37","佐藤次郎","営業部","2025-06-09 11:47:22","注意","90","Daily"
"38","鈴木花子","経理部","2025-06-08 11:47:22","正常","22","Daily"
"39","高橋美咲","営業部","2025-06-07 11:47:22","正常","66","Daily"
"40","鈴木花子","開発部","2025-06-06 11:47:22","警告","85","Daily"
"41","鈴木花子","総務部","2025-06-05 11:47:22","注意","58","Daily"
"42","高橋美咲","人事部","2025-06-04 11:47:22","注意","98","Daily"
"43","田中太郎","総務部","2025-06-03 11:47:22","警告","11","Daily"
"44","佐藤次郎","営業部","2025-06-02 11:47:22","正常","44","Daily"
"45","田中太郎","総務部","2025-06-01 11:47:22","警告","62","Daily"
"46","佐藤次郎","経理部","2025-05-31 11:47:22","警告","56","Daily"
"47","佐藤次郎","開発部","2025-05-30 11:47:22","注意","41","Daily"
"48","田中太郎","経理部","2025-05-29 11:47:22","警告","20","Daily"
"49","鈴木花子","開発部","2025-05-28 11:47:22","正常","36","Daily"
"50","佐藤次郎","営業部","2025-05-27 11:47:22","警告","30","Daily"
