"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","渡辺健一","営業部","2025-07-15 12:11:35","正常","64","Daily"
"2","鈴木花子","営業部","2025-07-14 12:11:35","正常","91","Daily"
"3","鈴木花子","人事部","2025-07-13 12:11:35","注意","53","Daily"
"4","鈴木花子","営業部","2025-07-12 12:11:35","正常","21","Daily"
"5","鈴木花子","開発部","2025-07-11 12:11:35","注意","66","Daily"
"6","佐藤次郎","経理部","2025-07-10 12:11:35","注意","73","Daily"
"7","田中太郎","営業部","2025-07-09 12:11:35","正常","99","Daily"
"8","鈴木花子","開発部","2025-07-08 12:11:35","正常","99","Daily"
"9","渡辺健一","開発部","2025-07-07 12:11:35","警告","10","Daily"
"10","田中太郎","人事部","2025-07-06 12:11:35","警告","77","Daily"
"11","佐藤次郎","営業部","2025-07-05 12:11:35","警告","36","Daily"
"12","渡辺健一","開発部","2025-07-04 12:11:35","正常","76","Daily"
"13","高橋美咲","総務部","2025-07-03 12:11:35","正常","57","Daily"
"14","佐藤次郎","経理部","2025-07-02 12:11:35","正常","53","Daily"
"15","渡辺健一","営業部","2025-07-01 12:11:35","警告","14","Daily"
"16","佐藤次郎","総務部","2025-06-30 12:11:35","注意","69","Daily"
"17","佐藤次郎","総務部","2025-06-29 12:11:35","正常","75","Daily"
"18","鈴木花子","営業部","2025-06-28 12:11:35","警告","23","Daily"
"19","鈴木花子","経理部","2025-06-27 12:11:35","注意","26","Daily"
"20","田中太郎","経理部","2025-06-26 12:11:35","注意","25","Daily"
"21","高橋美咲","人事部","2025-06-25 12:11:35","警告","27","Daily"
"22","渡辺健一","人事部","2025-06-24 12:11:35","正常","82","Daily"
"23","渡辺健一","人事部","2025-06-23 12:11:35","警告","23","Daily"
"24","鈴木花子","営業部","2025-06-22 12:11:35","正常","89","Daily"
"25","鈴木花子","人事部","2025-06-21 12:11:35","注意","62","Daily"
"26","鈴木花子","営業部","2025-06-20 12:11:35","注意","29","Daily"
"27","田中太郎","経理部","2025-06-19 12:11:35","正常","82","Daily"
"28","渡辺健一","開発部","2025-06-18 12:11:35","警告","10","Daily"
"29","田中太郎","経理部","2025-06-17 12:11:35","警告","28","Daily"
"30","田中太郎","営業部","2025-06-16 12:11:35","注意","75","Daily"
"31","鈴木花子","開発部","2025-06-15 12:11:35","警告","11","Daily"
"32","鈴木花子","総務部","2025-06-14 12:11:35","正常","74","Daily"
"33","渡辺健一","開発部","2025-06-13 12:11:35","正常","76","Daily"
"34","田中太郎","開発部","2025-06-12 12:11:35","警告","23","Daily"
"35","渡辺健一","開発部","2025-06-11 12:11:35","注意","60","Daily"
"36","鈴木花子","開発部","2025-06-10 12:11:35","警告","15","Daily"
"37","鈴木花子","人事部","2025-06-09 12:11:35","正常","55","Daily"
"38","高橋美咲","営業部","2025-06-08 12:11:35","警告","99","Daily"
"39","田中太郎","総務部","2025-06-07 12:11:35","注意","83","Daily"
"40","田中太郎","開発部","2025-06-06 12:11:35","注意","37","Daily"
"41","高橋美咲","人事部","2025-06-05 12:11:35","正常","99","Daily"
"42","渡辺健一","人事部","2025-06-04 12:11:35","警告","96","Daily"
"43","鈴木花子","経理部","2025-06-03 12:11:35","注意","65","Daily"
"44","田中太郎","開発部","2025-06-02 12:11:35","正常","69","Daily"
"45","高橋美咲","経理部","2025-06-01 12:11:35","正常","78","Daily"
"46","渡辺健一","総務部","2025-05-31 12:11:35","警告","94","Daily"
"47","鈴木花子","営業部","2025-05-30 12:11:35","正常","45","Daily"
"48","高橋美咲","人事部","2025-05-29 12:11:35","正常","59","Daily"
"49","高橋美咲","営業部","2025-05-28 12:11:35","正常","62","Daily"
"50","佐藤次郎","総務部","2025-05-27 12:11:35","警告","45","Daily"
